,exposures,azimuth,elevation,delta_ra,delta_dec,delta_az,delta_el,pointing_distance,delta_x [pixels],delta_y [pixels],delta_r [pixels]
28,2022050500347,179.963162023982,22.4243718966027,28.837271810812126,-1.3130744063516886,135.9141922005506,-262.9512904302459,4.125577233511669,-3.1535779490362525,2.6674862732607934,4.130440279035935
29,2022050500349,191.168963690056,48.7042552812927,-14.63687616191578,5.7911222066479695,522.7908744373622,-318.48134836314443,7.710917109786299,-2.8774057687011143,7.124714248131102,7.6838152681644285
30,2022050500351,194.578641881002,50.3714547141426,-8.437479767894729,3.050840848379721,545.2287111280384,-351.901323907785,4.484915345622744,-2.3543280704765888,3.798256247370201,4.46873709051235
31,2022050500353,202.649915297283,24.3548524960061,10.050694218725198,3.8407575828728113,147.61494738744432,-478.75554232748385,5.256176313854419,-3.6979893185794865,3.733813802667697,5.25513943804727
32,2022050500355,202.456915159477,69.2211694105354,-8.100823022789427,3.781255632037528,1218.2942954688315,-416.8909290349575,6.530342225845064,-1.776459532042902,6.249202449415772,6.4967945729236485
33,2022050500357,213.793768216608,46.4819333537453,-4.331931426332858,5.104035429670262,400.3287490314392,-540.9698024372886,5.564080326700801,-4.128751620103492,3.7339468660962525,5.56677187778853
34,2022050500359,224.879352380274,49.5030220433109,-1.910791224958075,5.496985700494861,376.6104130311305,-630.3008255478346,5.625470614976084,-3.6710932671819894,4.255025034936361,5.619801048461068
35,2022050500361,224.747805227278,31.4705764337559,5.325799697112643,6.616674109301357,164.0783651745096,-658.5166338983313,7.390520866386729,-5.024940025551714,5.4149942449108295,7.387298892884264
36,2022050500363,230.84100537443004,85.2724080367771,-3.070524443728573,-4.336827500279128,3560.776456272174,-648.2935003402417,5.042235701674148,-4.576579147371566,-2.2641585651816616,5.106024941227934
37,2022050500365,236.480979253291,37.3847132011288,5.543126775097562,4.246999633176074,156.26921457433127,-722.9687634510952,5.86272735495068,-1.8329153204414848,5.536195107751244,5.831726574780227
38,2022050500367,236.20964475417,25.4213721140404,7.274152740916406,4.6438220996464,71.58798451907842,-747.6584567920397,7.220554092525961,-4.063351501505376,5.952709792726517,7.207328166609882
39,2022050500369,247.93893494151402,71.0066962822311,1.3947957776281328,3.0897755816795325,464.53191363114,-760.9201903251574,3.2917725738182346,0.6023960429951357,3.178889284830701,3.2354625755566455
40,2022050500371,247.06474580310203,23.3900887354393,7.515733392540369,5.327447072941993,17.456625463296405,-820.3324144208536,8.382677424426396,-5.26346739859681,6.5141066872457785,8.374823878083147
41,2022050500373,258.775811720436,40.4766068442841,3.5139961262473207,12.171978997201904,16.53547192413498,-833.0399804297372,12.568290641540397,-10.096698296550715,7.499735720860059,12.57733486770208
42,2022050500375,269.335173297455,22.8367123588105,3.7055096140420574,6.6007924031815435,-76.89915101857423,-887.5345069904583,7.532060733388583,-6.921599288470275,3.030713308383934,7.556041282825796
43,2022050500377,281.008579212954,40.1757756455918,4.6856327307637,5.8255981017531155,-181.4610660871267,-841.5898251047196,7.41876227190616,-4.986823937643646,5.487385430667013,7.4148372773616735
44,2022050500379,280.923590291073,22.9445697947522,5.080112452509411,5.20609711916844,-130.271444940945,-884.8225090174878,7.270523530503018,-5.984877333551453,4.148182225991422,7.2819072005683445
45,2022050500381,285.456506091869,60.9315847440594,4.3058524865955405,6.947206070117318,-386.9706764495959,-806.4034550254377,8.051532714429797,-3.699423676926163,7.127555912142401,8.030428931390775
46,2022050500383,293.222725618412,70.4290356322163,4.453135302401279,7.885462204919236,-800.5240179439397,-785.1120920013557,8.914176669848949,-3.6127161279639695,8.121974571592915,8.889217556278668
47,2022050500385,291.879533905303,25.4441217168351,4.329594268409664,6.044724889898134,-192.40228996845872,-854.7840653833447,7.428043130043123,-6.8110482239863,3.0228438654104433,7.451708726467808
48,2022050500387,304.033565301215,43.1752819403191,5.052974466212845,4.689665452356762,-404.5820835760651,-759.3384147829426,6.893683926283605,-4.844018221113473,4.903380723199329,6.892579708869685
49,2022050500389,313.282391506946,75.2069989426818,5.174141194652293,5.525798382092262,-1744.22275195368,-679.6987528404088,7.370905494688745,-2.7802105598494364,6.797500437369462,7.344084895556174
50,2022050500391,314.661804217612,31.911843179084798,6.086757355137706,2.8865594301763053,-341.1698957057524,-706.7630013177194,6.5602937901059555,-4.681909116306977,4.595258705760853,6.560234412445129
51,2022050500393,315.461958128726,60.6269501729839,6.25410555533108,4.453943831536122,-868.6451509330936,-669.886394319434,7.631853181510246,-3.5778351848914207,6.7181176653004595,7.611439389173977
52,2022050500395,326.670843887827,43.3087888940354,6.42385337387168,4.063042377066495,-555.4100805018379,-600.2581695312614,7.510067505340102,-5.862849000166425,4.704096455570798,7.516749421263569
53,2022050500397,337.062681842348,31.4383943959256,8.468767017728851,2.4835893418384103,-423.0619302011519,-533.4045700517606,8.081602712876025,-6.657797771185548,4.601241476604556,8.093064579504437
54,2022050500399,337.763255167505,63.5340253098839,5.161455305756135,3.0654249929149557,-1245.5144621460931,-488.55077689143513,5.984463204242085,-3.7633697686504,4.643097486017578,5.976730400499467
55,2022050500401,348.883901614448,41.7296781226178,7.616530321820392,1.7569253415061326,-614.6741633724105,-403.80315100946405,7.474364933180112,-5.938911115722993,4.551680033003856,7.482543442126087
56,2022050500403,338.454070169231,38.9413998111268,7.248191007442983,7.714354304769699,-784.5381748770478,-580.2169654440632,10.341795419303097,-10.230876245109723,1.754360919195997,10.380202838940704
57,2022050500405,337.90014081051,38.7882023139973,0.23947725062498648,-0.5655528007508792,-786.7955115156064,-584.8831779704,0.609621577122886,0.3135564728343349,0.4430911959650919,0.5428143970070105
